"CUISINE_ID","DISH_LIKED","CUISINES"
54,"Chicken Kasha, Tawa Roti, Manchurian, Mutton Curry, Mutton Kosha, Prawn","North Indian, Chinese, Oriya, Mithai"
55,"Noodles, Watermelon Mint Mojito, Rendang Curry, Laksa, Dimsum Platter, Spinach Corn Cheese, Phad Thai","Thai, Asian, Indonesian"
56,"Burgers, Fries","Burger, Fast Food, Beverages"
57,"Pasta, Pizza","North Indian, Chinese, Continental"
58,"Hot Wings","Burger, Fast Food"
59,"Ulavacharu, Biryani, Bangla Kodi, Rajugari Kodi Pulao, Curd Rice, Gadwal Kodi Pulao, Plain Rice","Andhra, North Indian, Chinese"
60,"Rolls, Beda Roti, Chicken Malai Roll, Paneer Roll, Peri Peri Chicken, Mutton Baida Roti, Chicken Beda","Rolls, North Indian, Fast Food"
61,"Chicken Tikka, Faluda, Raita, Tarkari Biryani, Lamb, Butter Naan, Fish","North Indian, Seafood"
62,"\N","North Indian, Fast Food, South Indian"
63,"Donne Biryani, Chilli Chicken, Chicken Guntur, Mutton Biryani, Mutton Thali, Chicken Biryani","Biryani"
64,"Cheesecake, Chocolate Decadence","Bakery, Desserts"
65,"\N","American, Thai, Healthy Food"
66,"Cocktails, Butter Chicken, Vegetable Biryani, Beer, Tandoori Chicken, Nachos, Roti","North Indian, South Indian, Andhra, Chinese"
67,"Chaat, Chips, Dahipuri, Masala Poori","Street Food"
68,"Filter Coffee, Kharabath, Tea, Idli Vada, Khara Bhath, Kesari Bath, Crispy Vada","South Indian"
69,"Ferrero Rocher Cake, Chocolate Cake","Bakery, Desserts"
70,"Waffles, Red Velvet Waffle, Brownie Sundae, Nutella Waffle","Desserts, Beverages"
71,"Donut, Burgers, Coffee","Burger, Desserts, Fast Food"
72,"Chaat, Paratha, Badam Milk, Gulab Jamun, Masala Poori, Sev Puri","Mithai, Street Food"
73,"Pizza, Beer, Pasta","Finger Food, Continental, Pizza, Asian, North Indian"
74,"Cocktails, Burgers, Pasta, Exotic Pizza, Honey Chilli Potatoes, Long Island Iced Tea, Nachos","Continental, American, North Indian, Chinese"
75,"Chocolate Momos, Burgers, Noodles, Burger Combo, Momo Burger, Veg Momos, Mushroom Momo","Tibetan, Momos"
125,"Vada, Coffee, Vegetable Biryani, Idli, Cheese Masala Dosa, Chole Bhature","South Indian, Chinese, North Indian"
126,"Rolls, Chicken Wrap, Veggie Wrap, Thali, Paneer Curry, Sabudana Vada, Sabudana Kheer","North Indian, Biryani, Fast Food"
127,"\N","Italian, Beverages"
128,"Chilli Babycorn, Egg Chilli, Chicken Curry, Palak Paneer, Sweet Lassi, Chaach, Butter Chicken","North Indian"
129,"Butter Chicken, Dal Makhani, Jeera Rice, Kulcha","North Indian"
130,"Rolls, Chocolate Fantasy, Chicken Rice, Chocolava, Paneer Wrap, Kheer, Veggie Wrap","North Indian, Biryani, Fast Food"
131,"Fish, Chicken Satay, Momos, Sweet Corn Soup, Clear Soup, Hakka Noodles, Chop Suey","Chinese, Momos, Thai, Vietnamese"
132,"Chicken Masala, Butter Naan, Shaadi Ki Biryani, Chicken Shawarama, Mutton Curry, Chicken Grill, Chicken Satay","North Indian, Mughlai, South Indian, Chinese"
133,"Pizza Crispy Crunch, Garlic Bread, Paneer Pizza, Pasta, Pane Pizza","Pizza, Fast Food"
134,"Rice Bowl, Hot Wings, Popcorn Chicken, Crispy Chicken, Rice Bowls, Zinger Burger","Burger, Fast Food"
135,"Hot Chocolate, Chicken Sandwich, Cappuccino, Hot Coffee, Hazelnut Latte, Tea","Cafe, Desserts"
136,"Fish, Mashed Potato, Cod","Mediterranean"
137,"Chaat, Pav Bhaji, Raj Kachori, Buttermilk, Ajwaini Paratha, Tawa Pulav, Sev Puri","North Indian"
138,"\N","Biryani, Fast Food, Mughlai"
139,"Faluda, Rabri, Malai Kulfi","Ice Cream, Desserts, Juices"
140,"Biryani, Gulab Jamun","Biryani, North Indian"
141,"Courteous Staff","Ice Cream, Desserts, Rolls"
142,"Biryani, Chicken Fry","Biryani, South Indian"
143,"Sandwiches, Pasta, Pizza, Fries, Brownie Shake","Cafe, Sandwich, Burger"
144,"Mocktails, Kimchi, Sushi, Ginger Tea, Pork Bibimbap, Chicken Sizzler, Salads","Korean"
145,"Benne Dosa, Idli Vada, Biryani, Cheese Masala Dosa, Filter Coffee, Paper Plain Dosa","South Indian, North Indian, Chinese, Beverages"
146,"Vegetable Biryani, Meetha Paan, Chana Masala, Sweet Lassi, Chicken Handi, Tandoori Aloo, Tandoori Chicken","North Indian"
147,"Momos, Chilli Chicken, Sweet Corn Chicken Soup, Wonton Soup, Crispy Noodle, Chicken Garlic Noodle","Chinese, Thai"
148,"Garlic Bread, Peppy Paneer Pizza, Chocolava Cake, Cheese Burst Pizza","Pizza, Fast Food"
149,"Ghee Rice, Chicken Grill, Alfam Chicken, Mutton Biryani, Fruit Salad, Peri Peri Chicken, Shawarma","North Indian, Mughlai, South Indian, Chinese"
150,"Chaat, Chole Bhature, Pav Bhaji, Gulab Jamun, Bhel Puri, Paneer Pakora","Street Food, Beverages, South Indian, North Indian, Ice Cream, Mithai, Rajasthani"
151,"Paneer Tikka, Pasta, Chilli Chicken, Pizza, Mocktails, Tandoori Aloo, Chowmein","Continental, Mexican, Chinese, North Indian"
152,"Mocktails, Chaat, Paneer Tikka, Vegetarian, Handi Biryani, Pasta, Tandoori Platter","North Indian"
153,"Chicken Tikka Roll","North Indian, Chinese, Kebab, Beverages"
154,"Vada, Thatte Idli, Kesari Bath","South Indian"
374,"Decor","Ice Cream, Desserts"
375,"Idli Vada, Masala Dosa, Filter Coffee, Curd Rice","South Indian, North Indian, Chinese"
376,"Garlic Bread, Burst Pizza","Pizza, Fast Food"
377,"Samosa","Bakery"
378,"Burgers, Fries, Wood Fire Pizza","Italian, American, Fast Food, Wraps, Rolls, Salad"
379,"Chocolate Truffle Cake, Cheesecake","Desserts"
380,"Swiss Roll","Bakery, Desserts, Sandwich"
381,"Chicken Burger, Rolls, Tea, Fries, Kathi Roll, Sandwich, Mango Juice","Arabian, Fast Food"
382,"Biryani, Mutton Chops, Lime Soda","Andhra, North Indian"
383,"Shawarma, Chicken Grill, Grape Juice, Biryani, Rolls, Paratha, Veggie Roll","North Indian, Kebab, Fast Food"
384,"Lassi, Buttermilk, Tandoori Chicken, Mutton Biryani, Dhania Chicken, Mutton Roganjosh, Naan","North Indian"
385,"Sandwiches, Oreo Shake","Beverages, Juices, Fast Food"
386,"Rabri, Mutton Roganjosh, Tandoori Roti, Shahi Tukda, Naan, Mutton Seekh, Malai Kofta","Mughlai, North Indian, Turkish, Afghan"
387,"Idli, Masala Dosa","North Indian, South Indian, Chinese"
388,"Burgers, Pancakes, Steak, Beef Burger, Oreo Thick Shakes, Chicken Juicy Burger, Pasta","Continental, Burger, Cafe, Steak"
389,"Tabakh Maaz, Phirni, Mutton Kanti, Saffron Kahwa, Tea, Mutton Roganjosh, Meat Balls","Kashmiri, Cafe"
390,"Chicken Biryani","Hyderabadi, Biryani, North Indian"
391,"Rolls, Momos, Biryani, Veggie Roll, Vada, Paratha","Fast Food, Rolls, Momos"
392,"Shawarma, Mutton Biryani, Angara Kebab, Chicken Grill, Ghee Rice","Arabian, Mughlai, North Indian, Chinese, Rolls"
393,"Cocktails, Corn Fritters, Sangria, Butter Chicken, Paneer Steak, Chicken Steak, Chicken Cutlet","Asian, Burger, Chinese, Finger Food"
394,"Schezwan Momos, Noodles","Tibetan, Momos"
395,"Deluxe Thali, Chole Bhature","North Indian, Chinese"
396,"Fries, Lunch Buffet, Appam, Manchow Soup, Paneer Tikka, Vegetable Stew, Biryani","South Indian, North Indian, Chinese, Biryani"
397,"Pasta, Sandwiches","Cafe, Sandwich, Burger"
398,"Rolls, Salads, Salad, Sandwiches, Pasta, Burgers, Croissants","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger"
399,"Chicken Boneless Biryani, Egg Curry, Andhra Biryani, Hyderabadi Biryani, Paneer Biryani, Buttermilk, Sea Food","Biryani, Andhra, North Indian, Seafood"
400,"Noodles, Momos, Veg Sizzler, Chicken Teriyaki Bao, Vegetable Dumplings","Chinese, Asian"
401,"Rolls","Fast Food, Rolls"
402,"Cocktails, Beer, Potato Wedges, Pizza, Long Island Iced Tea, Peri Peri Fries, Chilli Chicken","Finger Food, American, Asian, Italian"
403,"Waffles","Beverages, Desserts"
404,"Crabmeat Soup, Sesame Chicken, Clear Soup, Peking Duck, Crispy Lotus Stem, Jasmine Tea, Sea Food","Chinese"
405,"Chicken Manchow Soup, Hunan Chicken, Hakka Noodles, Momos, Mixed Fried Rice, Prawn, Spring Roll","Chinese, Momos"
406,"Strawberry Cake","Bakery, Desserts"
521,"Prawn, Dal Makhani, Fish, Shahi Tukda, Barfi, Pizza, Veg Mushroom","Continental, North Indian, Asian, Italian"
522,"Lassi, Hyderabadi Biryani, Tandoori Chicken, Lemon Chicken, Chicken Dum Biryani, Prawn Biryani, Boneless Biryani","Biryani, Hyderabadi, Andhra, North Indian"
523,"Paratha, Chicken Kebab, Biryani, Lassi, Butter Chicken, Chicken Curry, Veg Kolhapuri","North Indian"
524,"Vegetable Biryani, Barbeque Chicken, Pepper Bbq Chicken, Shawarma, Sea Food, Paneer Tikka, Tomato Soup","BBQ, Arabian, Chinese, North Indian, Desserts"
525,"Cocktails, Pizza, Mocktails, Jalapeno Nuggets, Chicken Tikka, Fish Grill, Steak","Continental, Modern Indian"
526,"Burgers, Crispy Chicken, Chicken Grill, Fiery Chicken, Chicken Wings, Ginger Chicken, Rice Bowl","Burger, Fast Food"
527,"Kerala Parotta, Tandoori Chicken","North Indian, Chinese, Middle Eastern"
528,"Dahi Kebab, Nalli Nihari, Lamb, Rich Chicken Broth, Tashkent Naan, Paneer Tikka, Aam Panna","North Indian"
529,"Vegetable Biryani","North Indian, Chinese, Arabian, Mughlai"
530,"Mushroom Biryani, Bamboo Chicken, Pot Biryani, Chicken Biryani, Paneer Biryani, Mutton Biryani, Dum Biryani","Andhra, Biryani, North Indian, Chinese"
531,"Deep Dish Pizza, Mocktails, Burgers, Onion Rings, Thin Crust Pizza, Chicken Tenders, Pasta","American, Italian"
532,"Burgers, Peri Peri Fries","Fast Food, Burger"
533,"\N","Thai, Chinese"
534,"\N","Desserts, Sandwich, Fast Food, Beverages"
535,"Burgers, Macaroon, Eclair, Coffee, Sandwich, Fries, Hot Chocolate","Cafe, Beverages"
536,"\N","Fast Food, Ice Cream, Pizza, Desserts"
537,"Masala Prawn, Mutton Kosha, Thali, Mutton Curry, Luchi, Fish Cutlet, Bengali Pulao","Bengali"
538,"Vada, Masala Dosa, Coffee, Akki Rottis, Idli Chutney, Curd Rice, Ghee Roast Dosa","South Indian"
539,"Aam Panna, Pasta, Paneer Tikka, Biryani, Pav Bhaji, Veg Pulao, Nachos","Chinese, Continental, North Indian, South Indian, Beverages"
540,"Burgers, Fries, Wood Fire Pizza","Burger, Pizza, Fast Food"
541,"Pizza, Momos, Brownie, Pasta, Nachos, Waffles, Onion Rings","Asian, Chinese, Continental, Italian"
542,"Banana Cake, Ginger Tea, Samosa, Chicken Sandwich, Masala Chai, Ginger Chai, Masala Tea","Tea, Fast Food, Beverages, Sandwich"
543,"\N","Arabian, Biryani, North Indian"
544,"Fish, Prawn Malai Curry, Mishti Doi, Biryani, Dhokar Dalna, Mutton Kosha, Malpua","Bengali, Seafood"
545,"Dal Makhani, Biryani, Sandwiches, Salad, Gulab Jamun, Sandwich, Brownie Chocolate","North Indian, Mughlai, Fast Food"
546,"Rajma, Dal Makhani, Maggi, Roti, Chole, Chicken Biryani, Egg Curry","North Indian, Biryani"
547,"Pizza, Exotic Garlic Bread, Chocolava Cake, Wings, Spicy Paneer","Pizza"
548,"Burgers, French Fries, Crispy Veg Burger, Chicken Fries, Chicken Crisp Burger","Burger, Fast Food, Beverages"
549,"Momos, Manchow Soup, Dragon Noodles, Spring Roll, Schezwan Fried Rice, Triple Schezwan Rice, Garlic Butter Noodle","Chinese, Momos"
550,"Coffee, Chocolate Gateau, Espresso, Hot Chocolate, Caramel Macchiato, Latte, Chocolate Pastry","Cafe, Desserts"
551,"Masala Dosa, Coffee, Idli, Vada, Onion Dosa, Roti, Kulcha","South Indian, North Indian, Chinese"
552,"Paneer Tikka, Chicken Popcorn, Bheja Fry, Ghee Rice, Jumbo Shawarma, Brain Fry, Biryani","North Indian, Mughlai, South Indian, Chinese"
807,"Sandwiches, Oreo Shake, Burgers","Beverages, Sandwich"
808,"\N","Bengali, Mughlai, North Indian"
809,"Ratatouille, Pizza, Tiramisu, Wild Mushroom Risotto, Pasta, Cocktails","Italian, Mediterranean"
810,"Pita Bread, Rolls, Shawarma Roll, Lebanese Shawarma, Chicken Grill, Barbeque Chicken","Arabian, BBQ, Rolls, Chinese"
811,"Burgers, Mocktails, Mashed Potato, Salads, Pasta Alfredo, Chicken Steak, Beef Steak","Steak, Continental, Burger, BBQ"
812,"Dal Makhani, Chocolate Cake, Kulcha, Phirni, Hara Bhara Kabab, Paneer Lababdar, Kheer","North Indian"
813,"Sandwiches, Shawarma, Pasta","Fast Food, Street Food, North Indian, Biryani"
