"LOCATION_ID","LOCATION","LISTED_IN_CITY"
44,"BTM","Bannerghatta Road"
45,"HSR","Bannerghatta Road"
46,"City Market","Rajajinagar"
47,"BTM","Sarjapur Road"
48,"Whitefield","HSR"
119,"Jeevan Bhima Nagar","MG Road"
120,"Old Airport Road","Whitefield"
121,"Banashankari","Brigade Road"
122,"BTM","Brookefield"
123,"Basavanagudi","Church Street"
138,"Banashankari","Frazer Town"
163,"\N","BTM"
164,"Hebbal","JP Nagar"
165,"Residency Road","Koramangala 5th Block"
199,"ITPL Main Road, Whitefield","Old Airport Road"
200,"North Bangalore","New BEL Road"
213,"Koramangala 5th Block","Basavanagudi"
214,"Jalahalli","Church Street"
215,"Vasanth Nagar","BTM"
216,"Koramangala 7th Block","Church Street"
241,"Jayanagar","Bannerghatta Road"
242,"Jeevan Bhima Nagar","Church Street"
243,"Banashankari","Koramangala 4th Block"
244,"BTM","Bellandur"
257,"Nagarbhavi","Basavanagudi"
270,"City Market","Basavanagudi"
271,"Shanti Nagar","Basavanagudi"
272,"Koramangala 4th Block","Koramangala 6th Block"
273,"HSR","Koramangala 6th Block"
274,"Koramangala 3rd Block","Koramangala 7th Block"
275,"Koramangala 4th Block","Koramangala 7th Block"
276,"Richmond Road","Lavelle Road"
277,"Majestic","Lavelle Road"
278,"RT Nagar","Lavelle Road"
279,"RT Nagar","Malleshwaram"
280,"Vasanth Nagar","Malleshwaram"
281,"Race Course Road","Malleshwaram"
282,"Richmond Road","MG Road"
283,"New BEL Road","New BEL Road"
284,"Seshadripuram","Rajajinagar"
285,"Shanti Nagar","MG Road"
286,"Thippasandra","Old Airport Road"
287,"Whitefield","Sarjapur Road"
288,"Marathahalli","Old Airport Road"
289,"Ulsoor","Old Airport Road"
290,"Commercial Street","Brigade Road"
291,"Koramangala 8th Block","Brigade Road"
292,"Whitefield","Brookefield"
293,"Varthur Main Road, Whitefield","Brookefield"
294,"JP Nagar","BTM"
295,"Ulsoor","Frazer Town"
296,"Koramangala 4th Block","HSR"
297,"Ulsoor","Indiranagar"
298,"Kanakapura Road","JP Nagar"
299,"Frazer Town","Kammanahalli"
300,"Domlur","Koramangala 4th Block"
301,"Jayanagar","Koramangala 5th Block"
302,"Bannerghatta Road","Koramangala 5th Block"
303,"Koramangala 6th Block","Jayanagar"
304,"JP Nagar","JP Nagar"
305,"Koramangala 7th Block","Koramangala 4th Block"
306,"JP Nagar","Koramangala 7th Block"
307,"Banaswadi","Frazer Town"
308,"Seshadripuram","Residency Road"
309,"North Bangalore","Kalyan Nagar"
310,"South Bangalore","BTM"
311,"Marathahalli","BTM"
312,"Bannerghatta Road","Koramangala 4th Block"
313,"Marathahalli","Koramangala 5th Block"
314,"Banashankari","Church Street"
315,"Kalyan Nagar","Frazer Town"
316,"Residency Road","Indiranagar"
317,"Koramangala 5th Block","Frazer Town"
318,"South Bangalore","Bellandur"
319,"Old Madras Road","Kammanahalli"
320,"Indiranagar","Koramangala 7th Block"
14,"East Bangalore","Sarjapur Road"
15,"Bannerghatta Road","Bannerghatta Road"
16,"Frazer Town","HSR"
17,"Jakkur","Kalyan Nagar"
18,"CV Raman Nagar","Koramangala 5th Block"
28,"Marathahalli","Koramangala 6th Block"
51,"Koramangala 8th Block","MG Road"
52,"Nagarbhavi","Rajajinagar"
101,"Electronic City","BTM"
102,"Electronic City","JP Nagar"
103,"ITPL Main Road, Whitefield","BTM"
131,"Malleshwaram","Frazer Town"
132,"Koramangala 4th Block","Basavanagudi"
133,"RT Nagar","Bellandur"
134,"Koramangala","Jayanagar"
150,"Kammanahalli","Residency Road"
151,"Nagarbhavi","Koramangala 7th Block"
152,"Ejipura","Residency Road"
153,"Vasanth Nagar","Rajajinagar"
158,"\N","Electronic City"
159,"Uttarahalli","Banashankari"
187,"\N","Bannerghatta Road"
188,"BTM","Basavanagudi"
189,"Indiranagar","Bellandur"
190,"\N","Koramangala 7th Block"
217,"Whitefield","Old Airport Road"
218,"Old Airport Road","Brigade Road"
219,"CV Raman Nagar","Koramangala 7th Block"
321,"Koramangala 5th Block","Koramangala 5th Block"
322,"Koramangala 7th Block","Koramangala 7th Block"
323,"Jayanagar","Koramangala 6th Block"
324,"Richmond Road","Koramangala 7th Block"
325,"Marathahalli","Koramangala 7th Block"
326,"Race Course Road","Lavelle Road"
327,"Lavelle Road","Lavelle Road"
328,"Church Street","Lavelle Road"
329,"Koramangala 3rd Block","Koramangala 5th Block"
330,"Malleshwaram","Malleshwaram"
331,"Rajajinagar","Malleshwaram"
332,"Basaveshwara Nagar","Malleshwaram"
333,"Yeshwantpur","Malleshwaram"
334,"Cunningham Road","Malleshwaram"
335,"Whitefield","Marathahalli"
336,"Varthur Main Road, Whitefield","Marathahalli"
337,"Bellandur","Marathahalli"
338,"Lavelle Road","MG Road"
339,"Commercial Street","MG Road"
340,"Hebbal","New BEL Road"
341,"Rajajinagar","Rajajinagar"
342,"MG Road","Residency Road"
343,"Commercial Street","Residency Road"
344,"Wilson Garden","Residency Road"
345,"Vasanth Nagar","Residency Road"
346,"Bellandur","Sarjapur Road"
347,"Brookefield","Whitefield"
348,"Shivajinagar","Residency Road"
349,"Marathahalli","Sarjapur Road"
350,"Hosur Road","Koramangala 7th Block"
351,"St. Marks Road","Lavelle Road"
352,"CV Raman Nagar","Marathahalli"
353,"Infantry Road","Residency Road"
354,"Sarjapur Road","Sarjapur Road"
355,"Infantry Road","MG Road"
356,"Jeevan Bhima Nagar","Old Airport Road"
357,"East Bangalore","Marathahalli"
358,"Ulsoor","MG Road"
359,"South Bangalore","Sarjapur Road"
360,"Race Course Road","MG Road"
361,"Indiranagar","Lavelle Road"
362,"RT Nagar","Residency Road"
363,"Marathahalli","Whitefield"
364,"Richmond Road","Brigade Road"
365,"Indiranagar","Brigade Road"
366,"Race Course Road","Brigade Road"
367,"Lavelle Road","Brigade Road"
368,"Langford Town","Brigade Road"
369,"City Market","Brigade Road"
370,"Koramangala 8th Block","BTM"
371,"Church Street","Church Street"
372,"Cunningham Road","Church Street"
373,"Electronic City","Electronic City"
374,"Cunningham Road","Frazer Town"
375,"St. Marks Road","Frazer Town"
376,"Brigade Road","Frazer Town"
377,"Bellandur","HSR"
378,"Jayanagar","JP Nagar"
379,"Banashankari","JP Nagar"
380,"Banaswadi","Kalyan Nagar"
381,"HBR Layout","Kalyan Nagar"
382,"HSR","Koramangala 4th Block"
383,"Koramangala 8th Block","Koramangala 5th Block"
384,"Koramangala","Koramangala 5th Block"
385,"Koramangala 2nd Block","HSR"
386,"Electronic City","HSR"
387,"Banashankari","Jayanagar"
388,"Electronic City","Koramangala 7th Block"
389,"MG Road","Church Street"
390,"Jayanagar","Jayanagar"
391,"Central Bangalore","MG Road"
392,"Koramangala 6th Block","HSR"
