"TYPE_ID","REST_TYPE","LISTED_IN_TYPE"
1,"Dessert Parlor, Sweet Shop","Dine-out"
2,"Quick Bites, Bakery","Cafes"
5,"Bar","Drinks & nightlife"
6,"Pub","Buffet"
7,"Kiosk","Dine-out"
8,"Bakery, Dessert Parlor","Desserts"
9,"Casual Dining, Pub","Pubs and bars"
10,"Beverage Shop, Dessert Parlor","Delivery"
11,"Dessert Parlor, Bakery","Desserts"
12,"Quick Bites, Food Court","Delivery"
13,"Cafe, Casual Dining","Cafes"
14,"Bar, Casual Dining","Dine-out"
15,"Microbrewery, Casual Dining","Drinks & nightlife"
16,"Bar","Pubs and bars"
17,"Cafe, Bakery","Cafes"
18,"Cafe, Quick Bites","Delivery"
19,"Cafe, Bakery","Delivery"
20,"Microbrewery, Casual Dining","Delivery"
21,"Casual Dining, Microbrewery","Dine-out"
22,"Cafe, Dessert Parlor","Desserts"
23,"Pub, Microbrewery","Pubs and bars"
24,"Quick Bites","Cafes"
25,"Casual Dining, Microbrewery","Drinks & nightlife"
26,"Bakery, Cafe","Delivery"
27,"Cafe, Dessert Parlor","Dine-out"
28,"Casual Dining, Irani Cafee","Dine-out"
29,"Beverage Shop, Cafe","Delivery"
30,"Bakery","Dine-out"
31,"Quick Bites, Beverage Shop","Desserts"
32,"Lounge, Casual Dining","Buffet"
33,"Bar, Cafe","Drinks & nightlife"
34,"Microbrewery","Delivery"
35,"Casual Dining, Sweet Shop","Dine-out"
36,"Cafe, Lounge","Buffet"
37,"Lounge, Microbrewery","Dine-out"
38,"Dessert Parlor, Sweet Shop","Delivery"
3,"Casual Dining","Pubs and bars"
101,"Casual Dining, Lounge","Buffet"
102,"Cafe, Food Court","Cafes"
113,"Dessert Parlor, Cafe","Pubs and bars"
114,"Casual Dining, Quick Bites","Dine-out"
125,"Cafe","Dine-out"
126,"Cafe","Cafes"
127,"Bakery","Delivery"
128,"Quick Bites, Beverage Shop","Delivery"
129,"Pub","Pubs and bars"
130,"Fine Dining","Delivery"
131,"Dessert Parlor, Cafe","Delivery"
132,"Club","Dine-out"
133,"Sweet Shop, Quick Bites","Dine-out"
134,"Food Court, Quick Bites","Delivery"
135,"\N","Delivery"
136,"Casual Dining, Microbrewery","Delivery"
137,"Quick Bites, Beverage Shop","Dine-out"
138,"Beverage Shop, Quick Bites","Dine-out"
139,"Pub, Microbrewery","Drinks & nightlife"
140,"Casual Dining, Bar","Drinks & nightlife"
141,"Delivery","Dine-out"
142,"Lounge, Bar","Pubs and bars"
143,"Quick Bites, Sweet Shop","Dine-out"
144,"Club","Delivery"
145,"Dessert Parlor","Cafes"
146,"Bakery, Beverage Shop","Desserts"
147,"Beverage Shop, Cafe","Dine-out"
148,"Cafe, Lounge","Drinks & nightlife"
149,"Pub, Microbrewery","Delivery"
150,"Bar","Buffet"
151,"Bar, Lounge","Dine-out"
152,"Pub, Cafe","Delivery"
153,"Bar, Quick Bites","Dine-out"
154,"Food Court, Casual Dining","Dine-out"
155,"Bakery, Sweet Shop","Desserts"
107,"Quick Bites, Kiosk","Dine-out"
108,"Bar, Quick Bites","Pubs and bars"
117,"Dessert Parlor, Kiosk","Desserts"
201,"Quick Bites, Bakery","Delivery"
202,"Pub","Dine-out"
203,"Dhaba","Dine-out"
204,"Cafe, Lounge","Dine-out"
205,"Casual Dining","Delivery"
206,"Fine Dining","Buffet"
207,"Microbrewery, Bar","Dine-out"
208,"Food Court","Delivery"
209,"Fine Dining, Lounge","Dine-out"
210,"Beverage Shop","Cafes"
211,"Pub, Casual Dining","Dine-out"
212,"Microbrewery","Dine-out"
213,"Pub, Bar","Dine-out"
214,"Lounge, Casual Dining","Drinks & nightlife"
215,"Beverage Shop, Quick Bites","Cafes"
216,"Cafe, Dessert Parlor","Cafes"
217,"Fine Dining, Bar","Drinks & nightlife"
218,"Lounge, Cafe","Dine-out"
219,"Microbrewery, Pub","Dine-out"
220,"Casual Dining","Cafes"
221,"Casual Dining, Sweet Shop","Desserts"
222,"Cafe, Bar","Delivery"
223,"Fine Dining, Microbrewery","Dine-out"
224,"Fine Dining","Drinks & nightlife"
225,"Mess, Quick Bites","Dine-out"
226,"Bar, Lounge","Pubs and bars"
227,"Pub, Microbrewery","Buffet"
228,"Cafe, Casual Dining","Buffet"
229,"Lounge, Bar","Delivery"
4,"Bar, Cafe","Pubs and bars"
106,"Delivery","Pubs and bars"
111,"Sweet Shop, Dessert Parlor","Desserts"
112,"Microbrewery, Pub","Buffet"
156,"Dessert Parlor","Desserts"
157,"Sweet Shop","Desserts"
158,"Casual Dining, Bar","Dine-out"
159,"Beverage Shop","Delivery"
160,"Quick Bites, Dessert Parlor","Delivery"
161,"Casual Dining, Bar","Pubs and bars"
162,"Fine Dining","Dine-out"
163,"Dessert Parlor, Quick Bites","Cafes"
164,"Quick Bites","Dine-out"
165,"Delivery","Delivery"
166,"Cafe","Delivery"
167,"Bar, Casual Dining","Delivery"
168,"Cafe, Casual Dining","Delivery"
169,"Confectionery","Delivery"
170,"Casual Dining","Desserts"
171,"Quick Bites, Dessert Parlor","Dine-out"
172,"Microbrewery, Lounge","Drinks & nightlife"
173,"Bakery, Cafe","Cafes"
174,"Dessert Parlor, Cafe","Cafes"
175,"Dessert Parlor, Beverage Shop","Delivery"
176,"Takeaway, Delivery","Cafes"
177,"Pub, Cafe","Pubs and bars"
178,"Takeaway, Delivery","Delivery"
179,"Lounge","Dine-out"
180,"Pub, Cafe","Dine-out"
